epoch,accuracy,loss,val_accuracy,val_loss
0,0.17431291937828064,2.483367681503296,0.2672727406024933,2.1674842834472656
1,0.4888991117477417,1.5085999965667725,0.5717575550079346,1.3258544206619263
2,0.7279287576675415,0.8417491316795349,0.6592727303504944,1.0781124830245972
3,0.8070321083068848,0.605139434337616,0.8029090762138367,0.6393169164657593
4,0.8499923348426819,0.47245490550994873,0.8374545574188232,0.5153777003288269
5,0.8765238523483276,0.39317750930786133,0.8416969776153564,0.5124075412750244
6,0.8977583050727844,0.3226049542427063,0.830060601234436,0.5350425839424133
7,0.913127601146698,0.27513426542282104,0.8606060743331909,0.4765940010547638
8,0.9254721403121948,0.23230646550655365,0.8666666746139526,0.4622049033641815
9,0.9563488364219666,0.14068371057510376,0.8830302953720093,0.40239837765693665
10,0.9711499810218811,0.09470927715301514,0.8852121233940125,0.42164263129234314
11,0.9791494011878967,0.07164309173822403,0.8900606036186218,0.4188729524612427
12,0.9834638237953186,0.056160155683755875,0.8899393677711487,0.41487348079681396
13,0.9882235527038574,0.04367423430085182,0.8855757713317871,0.45344191789627075
14,0.991754949092865,0.032992102205753326,0.887030303478241,0.45812639594078064
15,0.9933517575263977,0.027229564264416695,0.8858181834220886,0.46843186020851135
