epoch,accuracy,loss,val_accuracy,val_loss
0,0.03777777776122093,3.3310606479644775,0.038307953625917435,3.2910995483398438
1,0.0555432103574276,3.260071277618408,0.05732656642794609,3.284721851348877
2,0.13480247557163239,2.911545991897583,0.11228426545858383,2.9707603454589844
3,0.28955554962158203,2.2661423683166504,0.31871405243873596,2.1904478073120117
4,0.41151851415634155,1.8188952207565308,0.37928932905197144,1.9425753355026245
5,0.4794321060180664,1.6003068685531616,0.4753299355506897,1.6243230104446411
6,0.5272592306137085,1.4573826789855957,0.4722842574119568,1.7278785705566406
7,0.5502963066101074,1.3831456899642944,0.5460575222969055,1.418640375137329
8,0.5891110897064209,1.2760076522827148,0.5373942255973816,1.5403646230697632
9,0.6596419811248779,1.0511589050292969,0.6246362328529358,1.1922657489776611
10,0.6871851682662964,0.9609110951423645,0.6552284359931946,1.1176100969314575
11,0.6997654438018799,0.9103612303733826,0.6765482425689697,1.057094693183899
12,0.7158518433570862,0.8654929399490356,0.6322165727615356,1.2373011112213135
13,0.724456787109375,0.8391214609146118,0.647445023059845,1.1945929527282715
14,0.7319876551628113,0.8103494644165039,0.686362087726593,1.0390740633010864
15,0.7432098984718323,0.7798260450363159,0.7081556916236877,0.9625165462493896
16,0.7456913590431213,0.7658026218414307,0.6825718879699707,1.0639604330062866
17,0.7555432319641113,0.7340739965438843,0.7022673487663269,0.9987446069717407
18,0.7575926184654236,0.7195417881011963,0.6770896911621094,1.1144052743911743
19,0.7897530794143677,0.626068115234375,0.7287986278533936,0.9091635346412659
20,0.8020617365837097,0.5761803388595581,0.7428764700889587,0.8631610870361328
21,0.8117901086807251,0.550982654094696,0.7418612241744995,0.8891023397445679
22,0.7805678844451904,0.613036572933197,0.72649747133255,0.8761491179466248
23,0.7955308556556702,0.5733414888381958,0.7307614088058472,0.8871544599533081
24,0.8057654500007629,0.5462511777877808,0.7212859392166138,0.9382543563842773
25,0.8115679025650024,0.5269023180007935,0.7274450063705444,0.919806957244873
26,0.8148024678230286,0.5135128498077393,0.7371235489845276,0.9043372869491577
27,0.8213456869125366,0.49529382586479187,0.7285956144332886,0.9441477060317993
28,0.8261111378669739,0.4804905951023102,0.7270389199256897,0.96125328540802
29,0.8431481719017029,0.42752063274383545,0.7479526400566101,0.8773183822631836
30,0.8544074296951294,0.40023455023765564,0.7480202913284302,0.889938473701477
31,0.7778765559196472,0.5751030445098877,0.7298138737678528,0.9428901076316833
32,0.8378888964653015,0.4421422779560089,0.7455160617828369,0.9107105731964111
33,0.8485432267189026,0.41300979256629944,0.7479526400566101,0.9173874855041504
34,0.8554938435554504,0.39412638545036316,0.7489001750946045,0.9313129782676697
35,0.8633333444595337,0.3733929991722107,0.7484263777732849,0.9389340877532959
36,0.8696172833442688,0.3555692732334137,0.7477495670318604,0.932167112827301
37,0.8734444379806519,0.34294986724853516,0.7535701990127563,0.9493119716644287
38,0.8799999952316284,0.32617077231407166,0.7546531558036804,0.9597035050392151
39,0.8867037296295166,0.30344197154045105,0.7581725716590881,0.9242589473724365
40,0.8953333497047424,0.2865818738937378,0.7580372095108032,0.9441036581993103
41,0.8962222337722778,0.2804182171821594,0.7599999904632568,0.9401251077651978
42,0.9003333449363708,0.269205778837204,0.7618951201438904,0.9381857514381409
43,0.9034938216209412,0.26128849387168884,0.7620981335639954,0.9447051286697388
44,0.9057777523994446,0.25319430232048035,0.7602707147598267,0.9427592754364014
45,0.9088271856307983,0.24642102420330048,0.7643316388130188,0.9455301761627197
46,0.9122098684310913,0.24076814949512482,0.7616920471191406,0.961052417755127
47,0.9136173129081726,0.23158039152622223,0.761150598526001,0.9756394624710083
48,0.9158271551132202,0.2280731350183487,0.7566835880279541,0.9923721551895142
49,0.9199506044387817,0.219635471701622,0.7648054361343384,0.9653245806694031
50,0.9220617413520813,0.21442988514900208,0.7625042200088501,0.9830591678619385
51,0.925777792930603,0.20535917580127716,0.7606091499328613,0.9899159669876099
52,0.9258518815040588,0.20345483720302582,0.7629103064537048,0.9818553328514099
